"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,12,,
"MEX","Mexico","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,0,,
"MEX","Mexico","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,0,,
"MEX","Mexico","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,12,,
"MEX","Mexico","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,12,,
"MEX","Mexico","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,1,,
"MEX","Mexico","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,1,,
"NLD","Netherlands","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,16,,
"NLD","Netherlands","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,16,,
"NLD","Netherlands","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,26,,
"NLD","Netherlands","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,26,,
"NLD","Netherlands","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,16,,
"NLD","Netherlands","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,16,,
"NLD","Netherlands","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,1,,
"NLD","Netherlands","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,6,,
"NZL","New Zealand","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,22,,
"NZL","New Zealand","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,26,,
"NZL","New Zealand","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,30,,
"NZL","New Zealand","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,26,,
"NZL","New Zealand","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,22,,
"NZL","New Zealand","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,26,,
"NZL","New Zealand","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,0,,
"NZL","New Zealand","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,0,,
"NOR","Norway","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,18,,
"NOR","Norway","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,18,,
"NOR","Norway","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,16,,
"NOR","Norway","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,16,,
"NOR","Norway","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,86,,
"NOR","Norway","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,86,,
"NOR","Norway","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,15,,
"NOR","Norway","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,15,,
"POL","Poland","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,20,,
"POL","Poland","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,20,,
"POL","Poland","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,183.7,,
"POL","Poland","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,183.7,,
"POL","Poland","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,52,,
"POL","Poland","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,52,,
"POL","Poland","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,2,,
"POL","Poland","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,2,,
"PRT","Portugal","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,6,,
"PRT","Portugal","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,6,,
"PRT","Portugal","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,24.1,,
"PRT","Portugal","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,24.1,,
"PRT","Portugal","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,30.1,,
"PRT","Portugal","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,30.1,,
"PRT","Portugal","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,22.3,,
"PRT","Portugal","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,22.3,,
"SVK","Slovak Republic","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,34,,
"SVK","Slovak Republic","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,34,,
"SVK","Slovak Republic","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,130,,
"SVK","Slovak Republic","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,130,,
"SVK","Slovak Republic","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,164,,
"SVK","Slovak Republic","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,164,,
"SVK","Slovak Republic","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,0,,
"SVK","Slovak Republic","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,0,,
"ESP","Spain","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,46,,
"ESP","Spain","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,46,,
"ESP","Spain","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,16,,
"ESP","Spain","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,12,,
"ESP","Spain","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,16,,
"SWE","Sweden","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,12.9,,
"SWE","Sweden","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,12.9,,
"SWE","Sweden","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,65.1,,
"SWE","Sweden","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,65.1,,
"SWE","Sweden","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,55.7,,
"SWE","Sweden","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,55.7,,
"SWE","Sweden","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,14.3,,
"SWE","Sweden","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,14.3,,
"CHE","Switzerland","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,16,,
"CHE","Switzerland","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,16,,
"CHE","Switzerland","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,0,,
"CHE","Switzerland","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,0,,
"CHE","Switzerland","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,14,,
"CHE","Switzerland","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,14,,
"CHE","Switzerland","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,2,,
"CHE","Switzerland","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,2,,
"TUR","Turkey","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,16,,
"TUR","Turkey","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,16,,
"TUR","Turkey","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,26,,
"TUR","Turkey","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,26,,
"TUR","Turkey","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,16,,
"TUR","Turkey","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,16,,
"TUR","Turkey","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,1,,
"TUR","Turkey","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,1,,
"GBR","United Kingdom","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,52,,
"GBR","United Kingdom","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,52,,
"GBR","United Kingdom","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,18,,
"GBR","United Kingdom","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,18,,
"GBR","United Kingdom","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,39,,
"GBR","United Kingdom","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,39,,
"GBR","United Kingdom","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,2,,
"GBR","United Kingdom","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,2,,
"USA","United States","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,0,,
"USA","United States","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,0,,
"USA","United States","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,12,,
"USA","United States","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,12,,
"USA","United States","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,0,,
"USA","United States","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,0,,
"USA","United States","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,0,,
"USA","United States","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,0,,
"CHL","Chile","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,18,,
"CHL","Chile","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,18,,
"CHL","Chile","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,12,,
"CHL","Chile","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,12,,
"CHL","Chile","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,30,,
"CHL","Chile","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,30,,
"CHL","Chile","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,1,,
"CHL","Chile","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,1,,
"COL","Colombia","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,18,,
"COL","Colombia","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,18,,
"COL","Colombia","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,0,,
"COL","Colombia","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,0,,
"COL","Colombia","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,17,,
"COL","Colombia","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,17,,
"COL","Colombia","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,8,,
"COL","Colombia","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,8,,
"CRI","Costa Rica","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,17.3,,
"CRI","Costa Rica","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,17.3,,
"CRI","Costa Rica","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,0,,
"CRI","Costa Rica","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,0,,
"CRI","Costa Rica","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,17.3,,
"CRI","Costa Rica","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,17.3,,
"CRI","Costa Rica","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,0,,
"CRI","Costa Rica","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,0,,
"EST","Estonia","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,20,,
"EST","Estonia","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,20,,
"EST","Estonia","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,146,,
"EST","Estonia","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,146,,
"EST","Estonia","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,82,,
"EST","Estonia","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,82,,
"EST","Estonia","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,2,,
"EST","Estonia","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,4.3,,
"ISR","Israel","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,26,,
"ISR","Israel","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,26,,
"ISR","Israel","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,32,,
"ISR","Israel","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,32,,
"ISR","Israel","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,15,,
"ISR","Israel","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,15,,
"ISR","Israel","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,0,,
"ISR","Israel","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,0,,
"LVA","Latvia","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,16,,
"LVA","Latvia","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,16,,
"LVA","Latvia","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,78,,
"LVA","Latvia","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,78,,
"LVA","Latvia","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,94,,
"LVA","Latvia","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,94,,
"LVA","Latvia","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,1.4,,
"LVA","Latvia","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,1.4,,
"LTU","Lithuania","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,18,,
"LTU","Lithuania","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,18,,
"LTU","Lithuania","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,148,,
"LTU","Lithuania","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,148,,
"LTU","Lithuania","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,62,,
"LTU","Lithuania","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,62,,
"LTU","Lithuania","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,4,,
"LTU","Lithuania","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,4,,
"SVN","Slovenia","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,15,,
"SVN","Slovenia","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,15,,
"SVN","Slovenia","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,37.1,,
"SVN","Slovenia","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,37.1,,
"SVN","Slovenia","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,52.1,,
"SVN","Slovenia","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,52.1,,
"SVN","Slovenia","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,4.3,,
"SVN","Slovenia","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,4.3,,
"OAVG","OECD - Average","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,19.8,,
"OAVG","OECD - Average","EMP18_MAT","Length of maternity leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,20,,
"OAVG","OECD - Average","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,57,,
"OAVG","OECD - Average","EMP18_PAR","Length of parental leave with job protection","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,57,,
"OAVG","OECD - Average","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,50.7,,
"OAVG","OECD - Average","EMP18_PAID","Total length of paid maternity and parental leave","WOMEN","Women","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,51.1,,
"OAVG","OECD - Average","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2020","2020","WEEK","Weeks","0","Units",,,9.6,,
"OAVG","OECD - Average","EMP18_PAT","Length of paid father-specific leave","MEN","Men","TOTAL","Total","2021","2021","WEEK","Weeks","0","Units",,,10.1,,
